,chromosome,strand,start,end,length
nogene_chr10_459516_459810,10,+,459516,459810,295
nogene_chr10_460928_461501,10,-,460928,461501,574
nogene_chr10_462142_462394,10,-,462142,462394,253
nogene_chr10_472018_472474,10,-,472018,472474,457
nogene_chr10_472184_472462,10,+,472184,472462,279
nogene_chr10_483908_485836,10,+,483908,485836,1929
nogene_chr10_507208_507413,10,-,507208,507413,206
nogene_chr10_524144_524436,10,-,524144,524436,293
nogene_chr10_529272_529566,10,-,529272,529566,295
nogene_chr10_534969_535661,10,-,534969,535661,693
nogene_chr10_539443_540385,10,-,539443,540385,943
nogene_chr10_540777_541047,10,+,540777,541047,271
nogene_chr10_543096_543817,10,-,543096,543817,722
nogene_chr10_547297_548284,10,-,547297,548284,988
nogene_chr10_572444_572739,10,+,572444,572739,296
nogene_chr10_576910_577353,10,+,576910,577353,444
nogene_chr10_605969_607341,10,-,605969,607341,1373
nogene_chr10_607620_607998,10,+,607620,607998,379
nogene_chr10_610611_612007,10,-,610611,612007,1397
nogene_chr10_613309_613593,10,+,613309,613593,285
nogene_chr10_617568_617781,10,+,617568,617781,214
nogene_chr10_619973_620244,10,+,619973,620244,272
nogene_chr10_620003_620791,10,-,620003,620791,789
nogene_chr10_626832_628652,10,-,626832,628652,1821
nogene_chr10_640098_640313,10,-,640098,640313,216
nogene_chr10_640560_641655,10,-,640560,641655,1096
nogene_chr10_649336_649735,10,-,649336,649735,400
nogene_chr10_650813_651167,10,-,650813,651167,355
nogene_chr10_651852_652514,10,-,651852,652514,663
nogene_chr10_663479_664593,10,+,663479,664593,1115
nogene_chr10_665519_665847,10,+,665519,665847,329
nogene_chr10_668294_669123,10,-,668294,669123,830
nogene_chr10_671809_672174,10,-,671809,672174,366
nogene_chr10_678983_679381,10,+,678983,679381,399
nogene_chr10_696632_697019,10,-,696632,697019,388
nogene_chr10_703376_705193,10,-,703376,705193,1818
nogene_chr10_712063_712477,10,+,712063,712477,415
nogene_chr10_718407_719074,10,-,718407,719074,668
nogene_chr10_721289_725258,10,-,721289,725258,3970
nogene_chr11_5946_7584,11,-,5946,7584,1639
nogene_chr11_13844_14227,11,+,13844,14227,384
nogene_chr11_18621_21188,11,+,18621,21188,2568
nogene_chr11_21125_21559,11,-,21125,21559,435
nogene_chr11_21701_24034,11,-,21701,24034,2334
nogene_chr11_24176_24828,11,-,24176,24828,653
nogene_chr11_35521_35907,11,-,35521,35907,387
nogene_chr11_66516_67731,11,+,66516,67731,1216
nogene_chr11_69812_70448,11,+,69812,70448,637
nogene_chr11_74087_74515,11,+,74087,74515,429
nogene_chr11_88886_89196,11,+,88886,89196,311
nogene_chr11_90185_90706,11,+,90185,90706,522
nogene_chr11_92077_92423,11,-,92077,92423,347
nogene_chr11_93951_94292,11,-,93951,94292,342
nogene_chr11_95944_96227,11,-,95944,96227,284
nogene_chr11_98964_99475,11,-,98964,99475,512
nogene_chr11_106451_106810,11,-,106451,106810,360
nogene_chr11_115179_115616,11,+,115179,115616,438
nogene_chr11_127666_130570,11,-,127666,130570,2905
nogene_chr11_136498_136771,11,+,136498,136771,274
nogene_chr11_137281_137896,11,+,137281,137896,616
nogene_chr11_143513_143820,11,-,143513,143820,308
nogene_chr11_145054_145314,11,-,145054,145314,261
nogene_chr11_145967_146866,11,+,145967,146866,900
nogene_chr11_150773_152946,11,+,150773,152946,2174
nogene_chr11_157677_158206,11,-,157677,158206,530
nogene_chr11_162898_163174,11,+,162898,163174,277
nogene_chr11_164866_166032,11,+,164866,166032,1167
nogene_chr11_189048_190128,11,+,189048,190128,1081
nogene_chr11_191747_191954,11,+,191747,191954,208
nogene_chr11_195257_195796,11,+,195257,195796,540
nogene_chr11_200476_202649,11,+,200476,202649,2174
nogene_chr11_202010_202653,11,-,202010,202653,644
nogene_chr11_203943_204851,11,-,203943,204851,909
nogene_chr11_216217_216587,11,-,216217,216587,371
nogene_chr11_230333_230742,11,+,230333,230742,410
nogene_chr11_233185_233998,11,-,233185,233998,814
nogene_chr11_239354_241506,11,+,239354,241506,2153
nogene_chr11_244702_244932,11,+,244702,244932,231
nogene_chr11_257912_258138,11,-,257912,258138,227
nogene_chr11_259688_260326,11,-,259688,260326,639
nogene_chr11_261336_261826,11,-,261336,261826,491
nogene_chr11_269761_269986,11,+,269761,269986,226
nogene_chr11_285813_286317,11,-,285813,286317,505
nogene_chr11_303450_306974,11,-,303450,306974,3525
nogene_chr11_307703_308108,11,-,307703,308108,406
nogene_chr11_308265_308515,11,-,308265,308515,251
nogene_chr11_308923_309831,11,-,308923,309831,909
nogene_chr11_313190_313396,11,-,313190,313396,207
nogene_chr11_313898_314583,11,-,313898,314583,686
nogene_chr11_315356_315863,11,-,315356,315863,508
nogene_chr11_328137_329023,11,+,328137,329023,887
nogene_chr11_329854_330191,11,-,329854,330191,338
nogene_chr11_335331_336076,11,+,335331,336076,746
nogene_chr11_337251_337901,11,+,337251,337901,651
nogene_chr11_353396_354966,11,-,353396,354966,1571
nogene_chr11_364355_365092,11,-,364355,365092,738
nogene_chr11_374750_375329,11,-,374750,375329,580
nogene_chr11_375467_375668,11,-,375467,375668,202
nogene_chr11_379127_379601,11,-,379127,379601,475
nogene_chr11_379739_380005,11,+,379739,380005,267
nogene_chr11_386773_387174,11,-,386773,387174,402
nogene_chr11_390097_390297,11,+,390097,390297,201
nogene_chr11_427321_427606,11,+,427321,427606,286
nogene_chr11_430870_431531,11,+,430870,431531,662
nogene_chr11_435216_435606,11,-,435216,435606,391
nogene_chr11_439830_440072,11,+,439830,440072,243
nogene_chr11_447431_447724,11,+,447431,447724,294
nogene_chr11_451490_451874,11,-,451490,451874,385
nogene_chr11_455398_457131,11,+,455398,457131,1734
nogene_chr11_461620_462866,11,+,461620,462866,1247
nogene_chr11_462930_463378,11,-,462930,463378,449
nogene_chr11_466445_468423,11,+,466445,468423,1979
nogene_chr11_469072_469294,11,+,469072,469294,223
nogene_chr11_475978_476316,11,+,475978,476316,339
nogene_chr11_490481_490853,11,+,490481,490853,373
nogene_chr11_493162_493546,11,-,493162,493546,385
nogene_chr11_513451_514404,11,-,513451,514404,954
nogene_chr11_514590_514842,11,-,514590,514842,253
nogene_chr11_533638_535493,11,+,533638,535493,1856
nogene_chr11_554210_554602,11,-,554210,554602,393
nogene_chr11_556631_557243,11,-,556631,557243,613
nogene_chr11_558363_559782,11,-,558363,559782,1420
nogene_chr11_576337_576749,11,+,576337,576749,413
nogene_chr11_581558_581837,11,+,581558,581837,280
nogene_chr11_582797_583315,11,-,582797,583315,519
nogene_chr11_583538_584657,11,-,583538,584657,1120
nogene_chr11_596673_596953,11,+,596673,596953,281
nogene_chr11_605656_606956,11,+,605656,606956,1301
nogene_chr11_608762_609161,11,-,608762,609161,400
nogene_chr11_609645_611118,11,-,609645,611118,1474
nogene_chr11_614245_614571,11,-,614245,614571,327
nogene_chr11_626156_626438,11,-,626156,626438,283
nogene_chr11_631101_631902,11,-,631101,631902,802
nogene_chr11_649891_650223,11,-,649891,650223,333
nogene_chr11_660274_660564,11,+,660274,660564,291
nogene_chr11_663944_664346,11,+,663944,664346,403
nogene_chr11_664963_665329,11,+,664963,665329,367
nogene_chr11_665756_666041,11,+,665756,666041,286
nogene_chr12_16252_16473,12,+,16252,16473,222
nogene_chr12_22343_22687,12,+,22343,22687,345
nogene_chr12_26200_27290,12,+,26200,27290,1091
nogene_chr12_39882_40099,12,+,39882,40099,218
nogene_chr12_49268_49512,12,-,49268,49512,245
nogene_chr12_84488_85320,12,-,84488,85320,833
nogene_chr12_85523_85804,12,-,85523,85804,282
nogene_chr12_92058_92269,12,-,92058,92269,212
nogene_chr12_97872_98808,12,+,97872,98808,937
nogene_chr12_105808_106055,12,+,105808,106055,248
nogene_chr12_111987_114234,12,-,111987,114234,2248
nogene_chr12_125449_125668,12,-,125449,125668,220
nogene_chr12_130323_130870,12,+,130323,130870,548
nogene_chr12_132062_132303,12,-,132062,132303,242
nogene_chr12_151147_152112,12,+,151147,152112,966
nogene_chr12_156654_156883,12,+,156654,156883,230
nogene_chr12_158093_159702,12,+,158093,159702,1610
nogene_chr12_167656_167868,12,+,167656,167868,213
nogene_chr12_185041_185271,12,+,185041,185271,231
nogene_chr12_188129_188733,12,+,188129,188733,605
nogene_chr12_193648_193931,12,+,193648,193931,284
nogene_chr12_196856_197205,12,+,196856,197205,350
nogene_chr12_198754_199599,12,+,198754,199599,846
nogene_chr12_201745_202242,12,+,201745,202242,498
nogene_chr12_202367_202578,12,+,202367,202578,212
nogene_chr12_203100_204619,12,-,203100,204619,1520
nogene_chr12_220945_222066,12,+,220945,222066,1122
nogene_chr12_222410_222610,12,+,222410,222610,201
nogene_chr12_224181_224659,12,+,224181,224659,479
nogene_chr12_224916_225263,12,+,224916,225263,348
nogene_chr12_229951_230602,12,+,229951,230602,652
nogene_chr12_230824_231269,12,+,230824,231269,446
nogene_chr12_231406_232023,12,+,231406,232023,618
nogene_chr12_232244_234074,12,+,232244,234074,1831
nogene_chr12_234911_235694,12,+,234911,235694,784
nogene_chr12_239429_239842,12,+,239429,239842,414
nogene_chr12_245596_246266,12,+,245596,246266,671
nogene_chr12_249525_250197,12,+,249525,250197,673
nogene_chr12_264781_265173,12,-,264781,265173,393
nogene_chr12_271027_271266,12,-,271027,271266,240
nogene_chr12_274179_275237,12,+,274179,275237,1059
nogene_chr12_281234_281766,12,+,281234,281766,533
nogene_chr12_287567_287767,12,-,287567,287767,201
nogene_chr12_289956_291617,12,-,289956,291617,1662
nogene_chr12_300754_301140,12,+,300754,301140,387
nogene_chr12_307621_308906,12,+,307621,308906,1286
nogene_chr12_322106_325130,12,-,322106,325130,3025
nogene_chr12_329725_330410,12,+,329725,330410,686
nogene_chr12_339268_339625,12,+,339268,339625,358
nogene_chr12_339807_340672,12,+,339807,340672,866
nogene_chr12_343455_344384,12,+,343455,344384,930
nogene_chr12_351065_351406,12,+,351065,351406,342
nogene_chr12_365674_366051,12,-,365674,366051,378
nogene_chr12_366237_367044,12,+,366237,367044,808
nogene_chr12_369752_370098,12,+,369752,370098,347
nogene_chr12_371705_372104,12,-,371705,372104,400
nogene_chr12_373271_373812,12,-,373271,373812,542
nogene_chr12_374167_375140,12,+,374167,375140,974
nogene_chr12_390709_391299,12,+,390709,391299,591
nogene_chr12_395832_396705,12,+,395832,396705,874
nogene_chr12_417567_417985,12,-,417567,417985,419
nogene_chr12_441902_442425,12,+,441902,442425,524
nogene_chr12_448115_448332,12,+,448115,448332,218
nogene_chr12_449191_449488,12,-,449191,449488,298
nogene_chr12_449779_450776,12,+,449779,450776,998
nogene_chr12_459721_460566,12,+,459721,460566,846
nogene_chr12_459755_460567,12,-,459755,460567,813
nogene_chr12_490942_492318,12,+,490942,492318,1377
nogene_chr12_495198_495427,12,+,495198,495427,230
nogene_chr12_498125_498746,12,+,498125,498746,622
nogene_chr12_498877_499260,12,-,498877,499260,384
nogene_chr12_505340_505710,12,-,505340,505710,371
nogene_chr12_507243_507520,12,-,507243,507520,278
nogene_chr12_514639_514923,12,+,514639,514923,285
nogene_chr12_540831_541738,12,+,540831,541738,908
nogene_chr12_542163_542892,12,+,542163,542892,730
nogene_chr12_591367_591718,12,+,591367,591718,352
nogene_chr12_603322_603757,12,-,603322,603757,436
nogene_chr12_605683_605924,12,+,605683,605924,242
nogene_chr12_614188_614502,12,-,614188,614502,315
nogene_chr12_628440_628669,12,+,628440,628669,230
nogene_chr12_637810_638167,12,-,637810,638167,358
nogene_chr12_638912_639223,12,-,638912,639223,312
nogene_chr12_639585_639875,12,-,639585,639875,291
nogene_chr12_641329_642287,12,-,641329,642287,959
nogene_chr12_645387_645612,12,+,645387,645612,226
nogene_chr12_649242_650786,12,-,649242,650786,1545
nogene_chr12_656998_658023,12,+,656998,658023,1026
nogene_chr12_657046_658039,12,-,657046,658039,994
nogene_chr12_659818_661186,12,-,659818,661186,1369
nogene_chr12_669226_669678,12,+,669226,669678,453
nogene_chr12_671654_672706,12,-,671654,672706,1053
nogene_chr12_674195_675065,12,+,674195,675065,871
nogene_chr12_675695_676447,12,+,675695,676447,753
nogene_chr12_678103_678365,12,-,678103,678365,263
nogene_chr12_678603_679880,12,-,678603,679880,1278
nogene_chr12_684253_684460,12,+,684253,684460,208
nogene_chr12_687599_687831,12,-,687599,687831,233
nogene_chr12_699957_701154,12,+,699957,701154,1198
nogene_chr12_710897_711297,12,+,710897,711297,401
nogene_chr12_712445_712691,12,+,712445,712691,247
nogene_chr12_713583_713808,12,+,713583,713808,226
nogene_chr12_721780_722128,12,+,721780,722128,349
nogene_chr12_751519_751968,12,+,751519,751968,450
nogene_chr12_781038_781365,12,+,781038,781365,328
nogene_chr12_786434_787249,12,-,786434,787249,816
nogene_chr12_789459_789795,12,-,789459,789795,337
nogene_chr12_792566_793485,12,-,792566,793485,920
nogene_chr12_793239_794849,12,+,793239,794849,1611
nogene_chr12_794094_795142,12,-,794094,795142,1049
nogene_chr12_796822_797080,12,+,796822,797080,259
nogene_chr12_806789_808751,12,-,806789,808751,1963
nogene_chr12_817787_818381,12,-,817787,818381,595
nogene_chr12_823113_823375,12,+,823113,823375,263
nogene_chr12_826921_827419,12,+,826921,827419,499
nogene_chr12_831756_832010,12,-,831756,832010,255
nogene_chr12_832477_833511,12,-,832477,833511,1035
nogene_chr12_849297_849600,12,+,849297,849600,304
nogene_chr12_853305_855085,12,-,853305,855085,1781
nogene_chr12_854734_854977,12,+,854734,854977,244
nogene_chr12_873804_875050,12,+,873804,875050,1247
nogene_chr12_875430_875643,12,+,875430,875643,214
nogene_chr12_899157_899667,12,+,899157,899667,511
nogene_chr12_906667_906881,12,+,906667,906881,215
nogene_chr12_909712_910033,12,+,909712,910033,322
nogene_chr12_910302_911359,12,+,910302,911359,1058
nogene_chr12_928229_928498,12,-,928229,928498,270
nogene_chr12_929207_929452,12,-,929207,929452,246
nogene_chr12_939534_940868,12,-,939534,940868,1335
nogene_chr12_947098_947980,12,-,947098,947980,883
nogene_chr12_948758_949934,12,-,948758,949934,1177
nogene_chr12_963120_963461,12,-,963120,963461,342
nogene_chr12_981654_982499,12,-,981654,982499,846
nogene_chr12_981693_982246,12,+,981693,982246,554
nogene_chr12_990062_990515,12,-,990062,990515,454
nogene_chr12_1011016_1011340,12,+,1011016,1011340,325
nogene_chr12_1011559_1012177,12,+,1011559,1012177,619
nogene_chr12_1018044_1018302,12,+,1018044,1018302,259
nogene_chr12_1030001_1030505,12,-,1030001,1030505,505
nogene_chr12_1030317_1030575,12,+,1030317,1030575,259
nogene_chr12_1031408_1031665,12,-,1031408,1031665,258
nogene_chr12_1033472_1033683,12,-,1033472,1033683,212
nogene_chr12_1033821_1035666,12,-,1033821,1035666,1846
nogene_chr12_1041844_1042237,12,+,1041844,1042237,394
nogene_chr12_1042422_1043034,12,+,1042422,1043034,613
nogene_chr12_1052290_1053089,12,-,1052290,1053089,800
nogene_chr12_1058476_1059119,12,-,1058476,1059119,644
nogene_chr13_13572_14058,13,+,13572,14058,487
nogene_chr13_15084_15307,13,+,15084,15307,224
nogene_chr13_20784_21999,13,+,20784,21999,1216
nogene_chr13_23568_26135,13,+,23568,26135,2568
nogene_chr13_31718_32129,13,-,31718,32129,412
nogene_chr13_33059_33728,13,-,33059,33728,670
nogene_chr13_45866_46424,13,-,45866,46424,559
nogene_chr13_58960_59355,13,+,58960,59355,396
nogene_chr13_86623_86905,13,+,86623,86905,283
nogene_chr13_93795_94097,13,-,93795,94097,303
nogene_chr13_94476_95749,13,+,94476,95749,1274
nogene_chr13_110485_110697,13,-,110485,110697,213
nogene_chr13_110886_111646,13,-,110886,111646,761
nogene_chr13_119507_120079,13,+,119507,120079,573
nogene_chr13_120415_120700,13,+,120415,120700,286
nogene_chr13_121631_122116,13,+,121631,122116,486
nogene_chr13_127822_128307,13,+,127822,128307,486
nogene_chr13_129845_130430,13,+,129845,130430,586
nogene_chr13_139839_141609,13,+,139839,141609,1771
nogene_chr13_146954_147155,13,-,146954,147155,202
nogene_chr13_148833_149035,13,+,148833,149035,203
nogene_chr13_165589_168362,13,+,165589,168362,2774
nogene_chr13_171393_172282,13,-,171393,172282,890
nogene_chr13_193556_194115,13,-,193556,194115,560
nogene_chr13_194257_194544,13,-,194257,194544,288
nogene_chr13_202148_202636,13,+,202148,202636,489
nogene_chr13_204518_204945,13,+,204518,204945,428
nogene_chr13_219058_220827,13,-,219058,220827,1770
nogene_chr13_221655_221872,13,-,221655,221872,218
nogene_chr13_226275_226474,13,-,226275,226474,200
nogene_chr13_233193_233529,13,-,233193,233529,337
nogene_chr13_242044_242555,13,+,242044,242555,512
nogene_chr13_258426_258715,13,+,258426,258715,290
nogene_chr13_262875_263331,13,+,262875,263331,457
nogene_chr13_265433_267410,13,-,265433,267410,1978
nogene_chr13_271070_271284,13,+,271070,271284,215
nogene_chr13_275469_275939,13,-,275469,275939,471
nogene_chr13_276351_276612,13,-,276351,276612,262
nogene_chr13_277609_279854,13,+,277609,279854,2246
nogene_chr13_286398_287008,13,-,286398,287008,611
nogene_chr13_303004_303963,13,+,303004,303963,960
nogene_chr13_305763_306223,13,+,305763,306223,461
nogene_chr13_307095_307334,13,+,307095,307334,240
nogene_chr13_308191_308644,13,-,308191,308644,454
nogene_chr13_311468_311955,13,-,311468,311955,488
nogene_chr13_320579_321081,13,+,320579,321081,503
nogene_chr13_323052_323267,13,-,323052,323267,216
nogene_chr13_343780_344159,13,+,343780,344159,380
nogene_chr13_347297_349128,13,+,347297,349128,1832
nogene_chr13_351484_351699,13,+,351484,351699,216
nogene_chr13_352377_353047,13,-,352377,353047,671
nogene_chr13_353297_353529,13,-,353297,353529,233
nogene_chr13_356778_357018,13,-,356778,357018,241
nogene_chr13_362393_362607,13,-,362393,362607,215
nogene_chr13_370301_370501,13,+,370301,370501,201
nogene_chr13_371260_371679,13,+,371260,371679,420
nogene_chr13_371843_372127,13,+,371843,372127,285
nogene_chr13_372048_372434,13,-,372048,372434,387
nogene_chr13_378570_379242,13,+,378570,379242,673
nogene_chr13_378570_379221,13,-,378570,379221,652
nogene_chr13_384518_384878,13,-,384518,384878,361
nogene_chr13_389786_390786,13,-,389786,390786,1001
nogene_chr13_396869_397236,13,-,396869,397236,368
nogene_chr13_397422_397629,13,-,397422,397629,208
nogene_chr13_398467_399175,13,-,398467,399175,709
nogene_chr13_399350_400061,13,-,399350,400061,712
nogene_chr13_405788_406018,13,-,405788,406018,231
nogene_chr13_420353_420587,13,-,420353,420587,235
nogene_chr13_422444_422914,13,+,422444,422914,471
nogene_chr13_423057_423395,13,+,423057,423395,339
nogene_chr13_430035_431495,13,+,430035,431495,1461
nogene_chr13_433116_434189,13,-,433116,434189,1074
nogene_chr13_438795_439116,13,-,438795,439116,322
nogene_chr13_460818_461346,13,+,460818,461346,529
nogene_chr13_462834_463437,13,+,462834,463437,604
nogene_chr13_463576_463778,13,+,463576,463778,203
nogene_chr13_465057_465651,13,+,465057,465651,595
nogene_chr13_472948_473225,13,+,472948,473225,278
nogene_chr13_475554_475803,13,+,475554,475803,250
nogene_chr13_475986_476212,13,+,475986,476212,227
nogene_chr13_480876_481353,13,+,480876,481353,478
nogene_chr13_481209_481951,13,-,481209,481951,743
nogene_chr13_483350_483587,13,-,483350,483587,238
nogene_chr13_501139_501820,13,+,501139,501820,682
nogene_chr13_502168_503489,13,+,502168,503489,1322
nogene_chr13_512900_513385,13,-,512900,513385,486
nogene_chr13_512925_513381,13,+,512925,513381,457
nogene_chr13_513582_513884,13,-,513582,513884,303
nogene_chr13_522220_522858,13,+,522220,522858,639
nogene_chr13_531829_532168,13,-,531829,532168,340
nogene_chr13_534956_535620,13,+,534956,535620,665
nogene_chr13_535953_536996,13,-,535953,536996,1044
nogene_chr13_545370_545580,13,-,545370,545580,211
nogene_chr13_556714_557782,13,+,556714,557782,1069
nogene_chr13_560235_560505,13,-,560235,560505,271
nogene_chr13_566894_567985,13,+,566894,567985,1092
nogene_chr13_576662_577376,13,-,576662,577376,715
nogene_chr13_590381_591644,13,+,590381,591644,1264
nogene_chr13_593056_593265,13,+,593056,593265,210
nogene_chr13_603543_603756,13,+,603543,603756,214
nogene_chr13_605868_606415,13,-,605868,606415,548
nogene_chr13_611255_611765,13,-,611255,611765,511
nogene_chr13_616506_616899,13,-,616506,616899,394
nogene_chr13_618198_619383,13,-,618198,619383,1186
nogene_chr13_632838_633140,13,-,632838,633140,303
nogene_chr13_650376_650676,13,-,650376,650676,301
nogene_chr13_651608_651817,13,-,651608,651817,210
nogene_chr13_654355_654657,13,-,654355,654657,303
nogene_chr13_655488_655983,13,-,655488,655983,496
nogene_chr13_657640_657850,13,-,657640,657850,211
nogene_chr13_660388_661379,13,-,660388,661379,992
nogene_chr13_675053_675314,13,+,675053,675314,262
nogene_chr13_675551_676749,13,-,675551,676749,1199
nogene_chr13_687445_688742,13,-,687445,688742,1298
nogene_chr13_711043_711948,13,-,711043,711948,906
nogene_chr13_715754_715975,13,+,715754,715975,222
nogene_chr13_721023_721398,13,+,721023,721398,376
nogene_chr13_731405_731996,13,-,731405,731996,592
nogene_chr13_731478_732148,13,+,731478,732148,671
nogene_chr13_735136_736216,13,-,735136,736216,1081
nogene_chr13_745546_745865,13,-,745546,745865,320
nogene_chr13_748216_749011,13,+,748216,749011,796
nogene_chr13_759857_760058,13,-,759857,760058,202
nogene_chr13_762670_763068,13,+,762670,763068,399
nogene_chr13_763421_763957,13,+,763421,763957,537
nogene_chr13_768831_770416,13,-,768831,770416,1586
nogene_chr13_772742_773651,13,-,772742,773651,910
nogene_chr13_776050_777148,13,+,776050,777148,1099
nogene_chr13_784566_785009,13,+,784566,785009,444
nogene_chr13_789103_789825,13,+,789103,789825,723
nogene_chr13_806764_807373,13,+,806764,807373,610
nogene_chr13_808448_808694,13,-,808448,808694,247
nogene_chr13_809144_809531,13,+,809144,809531,388
nogene_chr13_815894_816158,13,+,815894,816158,265
nogene_chr13_832322_832863,13,-,832322,832863,542
nogene_chr13_837005_837719,13,+,837005,837719,715
nogene_chr13_854496_854947,13,-,854496,854947,452
nogene_chr13_859339_859804,13,+,859339,859804,466
nogene_chr13_861524_861735,13,+,861524,861735,212
nogene_chr13_869658_870064,13,+,869658,870064,407
nogene_chr13_873002_873940,13,+,873002,873940,939
nogene_chr13_874096_874512,13,+,874096,874512,417
nogene_chr13_902509_904469,13,-,902509,904469,1961
nogene_chr13_906354_906923,13,+,906354,906923,570
nogene_chr13_912433_914759,13,+,912433,914759,2327
nogene_chr13_914865_915170,13,-,914865,915170,306
nogene_chr13_915058_915988,13,+,915058,915988,931
nogene_chr14_17450_17802,14,+,17450,17802,353
nogene_chr14_54539_54781,14,+,54539,54781,243
nogene_chr14_65477_66156,14,-,65477,66156,680
nogene_chr14_68040_68283,14,-,68040,68283,244
nogene_chr14_82066_82728,14,-,82066,82728,663
nogene_chr14_86877_87157,14,-,86877,87157,281
nogene_chr14_88633_89790,14,-,88633,89790,1158
nogene_chr14_89098_89656,14,+,89098,89656,559
nogene_chr14_95699_96151,14,-,95699,96151,453
nogene_chr14_102778_103113,14,+,102778,103113,336
nogene_chr14_104341_104691,14,+,104341,104691,351
nogene_chr14_110744_112804,14,-,110744,112804,2061
nogene_chr14_116098_116455,14,-,116098,116455,358
nogene_chr14_160702_161018,14,+,160702,161018,317
nogene_chr14_168133_168561,14,+,168133,168561,429
nogene_chr14_172585_172940,14,+,172585,172940,356
nogene_chr14_180714_181052,14,+,180714,181052,339
nogene_chr14_184867_185134,14,-,184867,185134,268
nogene_chr14_187259_187481,14,+,187259,187481,223
nogene_chr14_194437_194876,14,-,194437,194876,440
nogene_chr14_198548_199431,14,+,198548,199431,884
nogene_chr14_201285_201893,14,-,201285,201893,609
nogene_chr14_204891_206637,14,-,204891,206637,1747
nogene_chr14_217800_218212,14,+,217800,218212,413
nogene_chr14_224833_225043,14,+,224833,225043,211
nogene_chr14_229060_229403,14,-,229060,229403,344
nogene_chr14_230137_230630,14,+,230137,230630,494
nogene_chr14_239502_239759,14,-,239502,239759,258
nogene_chr14_242706_243092,14,-,242706,243092,387
nogene_chr14_243487_244138,14,-,243487,244138,652
nogene_chr14_250455_251653,14,-,250455,251653,1199
nogene_chr14_253615_254941,14,-,253615,254941,1327
nogene_chr14_270250_271001,14,+,270250,271001,752
nogene_chr14_272014_274114,14,+,272014,274114,2101
nogene_chr14_275172_275881,14,-,275172,275881,710
nogene_chr14_279873_280141,14,-,279873,280141,269
nogene_chr14_287524_287751,14,-,287524,287751,228
nogene_chr14_301976_302200,14,-,301976,302200,225
nogene_chr14_307468_307699,14,+,307468,307699,232
nogene_chr14_318695_319473,14,+,318695,319473,779
nogene_chr14_321169_322186,14,+,321169,322186,1018
nogene_chr14_338048_339195,14,+,338048,339195,1148
nogene_chr14_345753_346094,14,+,345753,346094,342
nogene_chr14_354515_355256,14,+,354515,355256,742
nogene_chr14_372538_374288,14,+,372538,374288,1751
nogene_chr14_392781_393414,14,-,392781,393414,634
nogene_chr14_406162_406453,14,-,406162,406453,292
nogene_chr14_406588_407919,14,-,406588,407919,1332
nogene_chr14_417860_418112,14,+,417860,418112,253
nogene_chr14_424882_425099,14,+,424882,425099,218
nogene_chr14_437124_437349,14,-,437124,437349,226
nogene_chr14_439644_439957,14,+,439644,439957,314
nogene_chr14_440815_441235,14,+,440815,441235,421
nogene_chr14_444836_446953,14,+,444836,446953,2118
nogene_chr14_454249_454650,14,-,454249,454650,402
nogene_chr14_459053_459281,14,-,459053,459281,229
nogene_chr14_464647_464905,14,-,464647,464905,259
nogene_chr14_466032_466506,14,-,466032,466506,475
nogene_chr14_478522_479182,14,+,478522,479182,661
nogene_chr14_480598_480902,14,-,480598,480902,305
nogene_chr14_484941_485201,14,-,484941,485201,261
nogene_chr14_490159_491154,14,-,490159,491154,996
nogene_chr14_498821_499021,14,+,498821,499021,201
nogene_chr14_501872_502745,14,-,501872,502745,874
nogene_chr14_510521_510751,14,-,510521,510751,231
nogene_chr14_515175_516152,14,+,515175,516152,978
nogene_chr14_522189_522542,14,+,522189,522542,354
nogene_chr14_523346_523673,14,+,523346,523673,328
nogene_chr14_525010_525297,14,-,525010,525297,288
nogene_chr14_525473_525737,14,-,525473,525737,265
nogene_chr14_528780_529388,14,-,528780,529388,609
nogene_chr14_529742_531372,14,-,529742,531372,1631
nogene_chr14_535261_535463,14,+,535261,535463,203
nogene_chr14_544470_544718,14,-,544470,544718,249
nogene_chr14_546264_546761,14,+,546264,546761,498
nogene_chr14_552673_553115,14,-,552673,553115,443
nogene_chr14_559081_559296,14,+,559081,559296,216
nogene_chr14_563224_563430,14,-,563224,563430,207
nogene_chr14_567934_568586,14,+,567934,568586,653
nogene_chr14_569572_569786,14,+,569572,569786,215
nogene_chr14_570682_571387,14,-,570682,571387,706
nogene_chr14_572036_572802,14,-,572036,572802,767
nogene_chr14_581620_582008,14,-,581620,582008,389
nogene_chr14_585592_586456,14,+,585592,586456,865
nogene_chr14_587267_588573,14,+,587267,588573,1307
nogene_chr14_597880_598305,14,+,597880,598305,426
nogene_chr14_599490_600165,14,+,599490,600165,676
nogene_chr14_600816_601511,14,+,600816,601511,696
nogene_chr14_604195_604873,14,-,604195,604873,679
nogene_chr14_614900_615581,14,-,614900,615581,682
nogene_chr14_624924_625316,14,+,624924,625316,393
nogene_chr14_629230_629598,14,+,629230,629598,369
nogene_chr14_631504_631819,14,-,631504,631819,316
nogene_chr14_632629_634084,14,+,632629,634084,1456
nogene_chr14_635408_635645,14,-,635408,635645,238
nogene_chr14_635818_636698,14,-,635818,636698,881
nogene_chr14_643057_643366,14,-,643057,643366,310
nogene_chr14_652247_653150,14,-,652247,653150,904
nogene_chr14_664663_664900,14,-,664663,664900,238
nogene_chr14_691749_692140,14,-,691749,692140,392
